Path,Pitch,RMSE,PercentSilence,FrequencyMagnitude
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/1 máy sấy tóc/may_say_toc_1.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[52.480352808569755, 6.295327728661332, 3.6278046603824587, 3.843097218001882, 7.780515449953133, 5.244177334922521, 7.7701177481295804]","[18.498866213151928, 48.49433106575963, 47.73242630385488, 48.29478458049886, 49.88208616780045, 49.55555555555555, 45.35514878292073]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/1 máy sấy tóc/may_say_toc_10.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[8.866061611360935, 5.90003609235975, 5.3062554703848, 6.911261951262575, 6.316705071921682, 5.697994337034678, 6.202246966893741]","[44.86621315192744, 52.59410430839002, 50.70748299319728, 47.19274376417234, 49.5827664399093, 50.176870748299315, 49.13172220282659]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/1 máy sấy tóc/may_say_toc_2.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[8.55075336646202, 6.140945845150521, 5.446192810112344, 7.470210397704726, 5.602601228470338, 6.5111835254356265, 4.244144485952954]","[47.800453514739225, 48.285714285714285, 46.6077097505669, 49.62358276643991, 50.48526077097505, 49.13378684807256, 48.68368310123227]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/1 máy sấy tóc/may_say_toc_3.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[11.558307245980169, 4.405098845572432, 6.911233159536052, 5.926177090787816, 5.455180977116383, 8.23579555137604, 6.015543838258877]","[46.37641723356008, 50.775510204081634, 57.532879818594104, 50.625850340136054, 51.42857142857143, 48.4172335600907, 55.9596312243816]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/1 máy sấy tóc/may_say_toc_4.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[10.874730486119557, 5.750694292891283, 4.89010491659255, 9.136110553628809, 3.362969501705222, 10.006769642876904, 16.476055680375016]","[46.07256235827665, 53.74149659863946, 49.01587301587301, 50.12698412698413, 49.53741496598639, 44.16326530612245, 40.74311131799785]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/1 máy sấy tóc/may_say_toc_5.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[9.877140991129847, 5.26177823887251, 3.616880255867727, 7.349455307398568, 5.719571490676788, 6.255918092626546, 6.175173074838573]","[46.9297052154195, 48.140589569160994, 48.00453514739229, 49.91836734693877, 49.53741496598639, 51.260770975056694, 48.788419514591986]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/1 máy sấy tóc/may_say_toc_6.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[11.090170075510477, 6.0543815694039775, 7.471984558893989, 6.197127367791143, 6.126807519744727, 4.107961655106573, 6.8135700094336205]","[46.770975056689345, 46.698412698412696, 49.50113378684807, 50.52154195011338, 49.18820861678005, 55.51020408163265, 48.683036580162145]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/1 máy sấy tóc/may_say_toc_7.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[7.409434606927599, 7.6897813771557555, 6.4230769947503825, 5.3922010929368085, 7.728144887369126, 5.3625112737617675, 5.042908568256756]","[52.33106575963719, 57.46485260770975, 50.56689342403628, 51.46485260770975, 48.439909297052154, 48.997732426303855, 57.9134178982893]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/1 máy sấy tóc/may_say_toc_8.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[8.304381809259297, 5.555016194592186, 8.644733061304404, 3.2595247895057713, 9.325072730557405, 17.253367580650817, 21.377040052764293]","[55.32879818594104, 49.00680272108844, 48.74829931972789, 49.560090702947846, 43.6281179138322, 51.97732426303855, 33.79882850382094]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/1 máy sấy tóc/may_say_toc_9.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[95.81703309576855, 5.589432681500468, 5.19024385194782, 6.064663584055823, 5.002286523813382, 7.015190289876911, 6.602678321568029]","[47.06575963718821, 50.55328798185941, 46.521541950113374, 52.6077097505669, 50.70748299319728, 47.147392290249435, 48.95651499282362]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/10 súng phun sơn/sprayer1.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[50.820276344216666, 40.41933858922372, 38.06538344804375, 40.534416906302795, 51.92132454290653, 8.372054312245123, 39.37330199350115]","[47.05668934240362, 57.42857142857143, 36.439909297052154, 13.083900226757379, 30.00453514739229, 50.399092970521544, 34.40302182138599]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/10 súng phun sơn/sprayer10.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[9.13179909274372, 85.24792880108137, 41.786168973582484, 2.4243555527867837, 2.0646849520939474, 24.25929617533083, 2.468748666417144]","[39.41043083900227, 71.6780045351474, 39.900226757369616, 53.002267573696145, 50.82993197278912, 63.17460317460317, 58.18484016852847]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/10 súng phun sơn/sprayer2.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[15.078054634897514, 94.70327861935013, 104.03209073812745, 4.131312245391157, 124.38489071043607, 120.3206135032122, 40.97495293300155]","[39.900226757369616, 32.37641723356009, 65.73696145124717, 51.40589569160998, 80.48526077097506, 90.12244897959184, 70.98170320841757]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/10 súng phun sơn/sprayer3.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[423.90199923338935, 1.383674373279237, 0.8677191189712002, 1.0450080663628927, 0.6671316506115199, 0.4638352857693376, 0.8689473526222476]","[96.66213151927438, 98.43083900226758, 99.00226757369614, 98.21768707482993, 99.80952380952381, 100.0, 98.91411392733116]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/10 súng phun sơn/sprayer4.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[40.82985850172283, 102.71858653064729, 56.698084010609556, 35.74367833563364, 74.60395130502071, 36.1236223052921, 3.256851177485216]","[72.87981859410431, 23.224489795918373, 73.6780045351474, 72.22222222222223, 68.53968253968253, 71.25170068027211, 30.354921474109787]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/10 súng phun sơn/sprayer5.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[21.992494322632144, 38.577613141742624, 36.44032363954466, 61.009270358481444, 39.65888023900334, 8.216084607411176, 33.955759148229845]","[52.6530612244898, 61.27437641723356, 37.83673469387755, 76.85714285714286, 70.10430839002268, 66.9795918367347, 64.65905860374447]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/10 súng phun sơn/sprayer6.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[22.243772980995303, 2.895856197037141, 3.021998662872994, 8.546151566934853, 23.296084340178087, 26.607220444462396, 37.47884533756102]","[52.34013605442177, 51.05215419501134, 51.51020408163266, 48.13151927437642, 40.10884353741496, 64.78004535147392, 62.18058363136889]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/10 súng phun sơn/sprayer7.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[18.149560667726018, 3.0596770488912064, 3.320379255559861, 9.396152265946425, 21.458350207346182, 29.59796856379225, 33.27258894264343]","[46.97052154195012, 50.33106575963719, 51.46031746031746, 56.52154195011338, 34.897959183673464, 40.204081632653065, 41.34077126418908]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/10 súng phun sơn/sprayer8.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[41.70932409414534, 35.030720977755706, 71.53701323273015, 11.874339157726528, 30.788744880729134, 34.560116889273246, 19.82110076819592]","[59.17460317460318, 54.50340136054422, 21.306122448979593, 57.954648526077094, 46.312925170068034, 51.96371882086168, 60.08330554302267]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/10 súng phun sơn/sprayer9.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[3.072239089970237, 2.2747225252844925, 2.8130973510477424, 2.3046735245207812, 2.169785170311419, 2.6475556333371926, 2.4652380954995308]","[55.795918367346935, 52.64399092970521, 44.64852607709751, 49.81859410430839, 53.64625850340136, 48.02721088435374, 49.99613466816126]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/2 cưa điện/cua_dien_1.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[0.0, 12.677084082471472, 3.191035295215746, 3.803934979978727, 4.599409242204967, 5.912200471114677, 8.800147602180784]","[100.0, 17.43764172335601, 51.151927437641724, 48.12698412698413, 54.59410430839002, 51.66439909297052, 68.42064506136988]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/2 cưa điện/cua_dien_10.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[5.312792890905511, 1.8064309982860105, 8.741092826295201, 2.0982488856783936, 1.4469549337047196, 6.795568974311685, 2.489916011455491]","[44.956916099773245, 48.74829931972789, 48.50340136054422, 46.68480725623583, 45.424036281179134, 48.87528344671202, 46.769082125603866]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/2 cưa điện/cua_dien_2.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[17.935483733755213, 36.85658915173484, 35.44583265625295, 7.325502924088921, 5.994741123175205, 2.0063687120411835, 2.9273517751356675]","[48.07256235827665, 59.47392290249433, 60.17687074829932, 51.51473922902494, 50.22222222222222, 45.342403628117914, 50.3304347826087]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/2 cưa điện/cua_dien_3.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[4.933919397800034, 2.0029437652694817, 3.9966955501031842, 1.7042772337195597, 2.979165870904884, 3.1316042704323386, 2.9759810823071304]","[48.93877551020408, 48.816326530612244, 47.13832199546485, 46.0453514739229, 50.25850340136054, 49.070294784580504, 49.01771336553945]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/2 cưa điện/cua_dien_4.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[6.421524670237654, 1.7747621539802778, 4.5348969903508465, 3.7015033105576767, 2.155915589849298, 3.834489962762399, 2.8122755533245036]","[46.03628117913833, 48.544217687074834, 48.39909297052154, 47.20181405895691, 47.795918367346935, 50.30839002267574, 48.62415458937198]"
